release_group_name,release_count,first_release_date_year,artist_position,mbid,primary_type_name,secondary_type_name,dz_artist_id,dz_name,sc_artist_id
A.C. Milan,1,2013,0,785c0e9c-89f6-4bf4-8296-443a46632d62,Single,,390,Booba,522394
Bad Habits: The Remixes,2,2021,0,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Single,Remix,384236,Ed Sheeran,860349
Eyes Closed,4,2024,0,012151a8-0f9a-44c9-997f-ebd68b5389f9,Single,Remix,416239,Imagine Dragons,1188385
"The Idol: Episode 5, Pt. 2",4,2023,0,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,EP,Soundtrack,4050205,The Weeknd,856411
Little Black Sandals / Buttons,1,NA,0,2f548675-008d-4332-876c-108b0c7ab9c5,Single,,3469,Sia,567274
T'es pas normal,1,2017,0,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,Single,,4803754,Dadju,4884911
À contre sens,1,2014,1,b2fbd053-4380-412c-95d2-35c6da8f1011,Single,,4429712,GIMS,5263805
For The Moment (The Urban Noize Remixes),1,2010,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,EP,Remix,13,Eminem,57633
Azizam [Persian version],2,2025,0,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Single,Remix,384236,Ed Sheeran,860349
GLAIVE,1,2019,0,785c0e9c-89f6-4bf4-8296-443a46632d62,Single,,390,Booba,522394
BED,2,2021,2,302bd7b9-d012-4360-897a-93b00c855680,Single,,542,David Guetta,572836
"2005-11-23: Pavilhão Atlântico, Lisbon, Portugal",1,NA,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Album,Live,892,Coldplay,555560
Floating Through Space,1,2021,0,2f548675-008d-4332-876c-108b0c7ab9c5,Single,Soundtrack,3469,Sia,567274
You Right,2,2021,1,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,Single,,4050205,The Weeknd,856411
Under the Milky Way,1,2010,0,2f548675-008d-4332-876c-108b0c7ab9c5,Single,,3469,Sia,567274
Crazy Vibes (Street Remix),1,2011,1,d721866d-5640-44ee-87f7-23dd062abd8a,Single,Remix,1412564,Nekfeu,900257
Death Will Never Conquer,1,2008,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Single,,892,Coldplay,555560
2U (R3hab remix),1,2017,0,302bd7b9-d012-4360-897a-93b00c855680,Single,Remix,542,David Guetta,572836
Young Metro,1,2024,2,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,Other,,4050205,The Weeknd,856411
Spleen,3,2021,0,a4ab6bb1-2b7e-4d5f-bad6-dcd6b6daa5d6,Album,,9930130,Djadja & Dinaz,3864820
Dope,3,2013,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Single,,75491,Lady Gaga,522177
I Was Me,1,2015,0,012151a8-0f9a-44c9-997f-ebd68b5389f9,Single,,416239,Imagine Dragons,1188385
Everything Has Changed (remix),5,2013,1,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Single,Remix,384236,Ed Sheeran,860349
Ceci n'est pas du rap,1,2019,0,b2fbd053-4380-412c-95d2-35c6da8f1011,Single,,4429712,GIMS,5263805
Mad Love (remixes),1,2018,1,302bd7b9-d012-4360-897a-93b00c855680,Single,Remix,542,David Guetta,572836
The Fame: Instrumentals & Acapellas,1,NA,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Other,Remix,75491,Lady Gaga,522177
MANIA,2,2025,0,6a2244c9-3122-454e-b83d-b23e2968884e,Album,,171998,Hamza,841407
I Don’t Care (Jonas Blue remix),2,2019,0,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Single,Remix,384236,Ed Sheeran,860349
Physical,15,2020,0,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Single,,8706544,Dua Lipa,5250517
"My Dear Melancholy,",12,2018,0,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,EP,,4050205,The Weeknd,856411
Beautiful People (Seth Hills Remix),1,2025,0,302bd7b9-d012-4360-897a-93b00c855680,Single,Remix,542,David Guetta,572836
I love you,2,2023,0,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,Single,,4803754,Dadju,4884911
E,1,2013,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Album,Compilation,13,Eminem,57633
When I’m Gone,6,2005,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Single,,13,Eminem,57633
S&M,8,2011,0,73e5e69d-3554-40d8-8516-00cb38737a1c,Single,,564,Rihanna,520084
Sausage Rolls for Everyone,1,2021,1,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Single,,384236,Ed Sheeran,860349
Liberté Provisoire,1,2010,0,10df38da-1292-4881-bd96-c6dfead3934b,Album,,4087782,Lacrim,859596
Something Inside Me / Umbrella,1,2007,2,73e5e69d-3554-40d8-8516-00cb38737a1c,Single,,564,Rihanna,520084
12h,1,2019,0,ee5acbd5-d291-4fe1-a06a-88060b131b77,Single,,604107,SDM,5583003
Bellingham,1,2024,0,e52815f0-0db9-49b2-acb7-1af6b2dfa936,Single,,13011,Soprano,627188
RTC,1,2013,0,785c0e9c-89f6-4bf4-8296-443a46632d62,Single,,390,Booba,522394
Numb,5,2005,0,2f548675-008d-4332-876c-108b0c7ab9c5,Single,,3469,Sia,567274
Dans son sac,1,2015,1,b2fbd053-4380-412c-95d2-35c6da8f1011,Single,,4429712,GIMS,5263805
Cold Heart (Claptone remix),3,2021,1,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Single,Remix,8706544,Dua Lipa,5250517
Autopsie 0,1,2017,0,785c0e9c-89f6-4bf4-8296-443a46632d62,Album,Mixtape/Street,390,Booba,522394
A Sky Full of Stars,10,2014,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Single,,892,Coldplay,555560
Take Me Back (Pola & Bryson remix),1,2022,1,302bd7b9-d012-4360-897a-93b00c855680,Single,,542,David Guetta,572836
En temps réel,3,2023,0,ce155ad5-afc8-4398-bf38-c99f02cd0814,Album,,4842061,Naps,3690398
VII,3,2018,0,52315221-8b06-4fb1-bfd3-16057aa4f9e1,Album,,14621667,Koba LaD,4814922
Let’s Love,4,2020,0,302bd7b9-d012-4360-897a-93b00c855680,Single,,542,David Guetta,572836
No Worries,1,2016,1,302bd7b9-d012-4360-897a-93b00c855680,Single,,542,David Guetta,572836
FeFe,1,2019,0,52315221-8b06-4fb1-bfd3-16057aa4f9e1,Single,,14621667,Koba LaD,4814922
Mia - La Relève,1,2019,0,66ffca84-c76f-416b-9371-89ccb7bb9da6,Single,,4986771,OBOY,5686598
Les Premières Années: The Very Best of the Early Years,2,1997,0,847e8a0c-cc20-4213-9e16-975515c2a926,Album,Compilation,198,Céline Dion,60087
"2006-02-13: Abbey Road Studios, London, UK",1,2006,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Album,Live,892,Coldplay,555560
"Live at Q Club Zurich, Switzerland",1,2008,0,302bd7b9-d012-4360-897a-93b00c855680,Album,DJ-mix,542,David Guetta,572836
Partir loin,2,2022,0,f4703541-0e73-411f-a5ff-dc8a0cb972ac,Album,,10725097,Yanns,5795763
Classique - A Love Collection,1,2001,0,847e8a0c-cc20-4213-9e16-975515c2a926,Album,Compilation,198,Céline Dion,60087
Raise ’Em Up (remix),1,2020,1,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Single,Remix,384236,Ed Sheeran,860349
Beautiful People (Justus Remix),1,2025,1,2f548675-008d-4332-876c-108b0c7ab9c5,Single,Remix,3469,Sia,567274
Indépendance,1,2021,0,8e6c44df-06fc-4852-83d0-ef0efed6630a,Album,,1191615,Jul,2265158
A Head Full of Dreams / Instrumentals,1,2015,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Album,Compilation,892,Coldplay,555560
"2002-08-27: Olympia, Paris, France",1,NA,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Album,Live,892,Coldplay,555560
Faded Into US,1,2025,1,302bd7b9-d012-4360-897a-93b00c855680,Single,,542,David Guetta,572836
Je tourne en rond,1,2015,0,8e6c44df-06fc-4852-83d0-ef0efed6630a,Single,,1191615,Jul,2265158
ODSL,1,2016,0,5386511f-b7bd-4058-9b5e-2c5dc426e1c9,EP,,5111084,Lomepal,1180989
JVLIVS II,6,2021,0,070a4a70-705b-41ba-a30a-cac559c781f8,Album,,162665,SCH,5263675
Si tu savais,1,2021,1,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,Single,,4803754,Dadju,4884911
Satisfaction (Hardwell & Maddix remix),2,2023,0,302bd7b9-d012-4360-897a-93b00c855680,Single,Remix,542,David Guetta,572836
Blinding Lights (remix),4,2020,0,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,Single,Remix,4050205,The Weeknd,856411
Let Somebody Go,5,2021,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Single,,892,Coldplay,555560
Perfect,3,2017,0,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Single,,384236,Ed Sheeran,860349
Ororo,1,2025,0,785c0e9c-89f6-4bf4-8296-443a46632d62,Single,,390,Booba,522394
Inspi d'ailleurs,2,2018,0,8e6c44df-06fc-4852-83d0-ef0efed6630a,Album,,1191615,Jul,2265158
"2005-06-25: Glastonbury Festival, Pilton, Somerset, UK",1,2005,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,,Live,892,Coldplay,555560
The Singles,1,2010,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Album,Compilation,75491,Lady Gaga,522177
Beautiful People (THEMBA remix),1,2025,1,2f548675-008d-4332-876c-108b0c7ab9c5,Single,Remix,3469,Sia,567274
South of the Border (Sam Feldt remix),1,2019,0,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Single,Remix,384236,Ed Sheeran,860349
Unreleased Collection,1,2001,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Album,Compilation,13,Eminem,57633
Unstoppable (Clarence Clarity remix),1,2022,0,2f548675-008d-4332-876c-108b0c7ab9c5,Single,Remix,3469,Sia,567274
Cold Heart (PS1 remix),3,2021,1,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Single,Remix,8706544,Dua Lipa,5250517
My Way,1,2023,0,a6386935-e6ee-4aaa-aaa8-70f56b79bc29,Single,,4889156,Clara Luciani,4290170
Fait d'or,1,2020,0,8e6c44df-06fc-4852-83d0-ef0efed6630a,Single,,1191615,Jul,2265158
Alors on sort,1,2012,0,9ff87295-bdfc-46fc-b605-456cc39d84ca,Single,,259729,Alonzo,627192
Hallucinate (Paul Woolford remix) (extended),1,2020,0,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Single,Remix,8706544,Dua Lipa,5250517
New Rules (live at the BRITs),1,2018,0,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Single,Live,8706544,Dua Lipa,5250517
"2008-07-23: United Center, Chicago, IL, USA",1,NA,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Album,Live,892,Coldplay,555560
Nightmare on Em Street,1,2010,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Album,Mixtape/Street,13,Eminem,57633
Think Twice,3,1994,0,847e8a0c-cc20-4213-9e16-975515c2a926,Single,,198,Céline Dion,60087
Rooftop,2,2019,0,070a4a70-705b-41ba-a30a-cac559c781f8,Album,,162665,SCH,5263675
Ragnar,1,2022,0,ee5acbd5-d291-4fe1-a06a-88060b131b77,Single,,604107,SDM,5583003
Thing for You (Don Diablo remix),1,2019,0,302bd7b9-d012-4360-897a-93b00c855680,Single,Remix,542,David Guetta,572836
Légendaire,1,2021,1,8e6c44df-06fc-4852-83d0-ef0efed6630a,Single,,1191615,Jul,2265158
Satisfaction,1,2026,1,302bd7b9-d012-4360-897a-93b00c855680,Single,Remix,542,David Guetta,572836
Africa Jungle,1,2025,0,530a9937-4229-4d7e-8457-4853d7d5dd7a,Album,,10189104,Soolking,6403312
Inner Fire,1,2010,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Album,Demo,75491,Lady Gaga,522177
Helium (Sia vs. David Guetta & Afrojack),1,2018,0,2f548675-008d-4332-876c-108b0c7ab9c5,Single,Remix,3469,Sia,567274
Ma sœur,1,2019,0,a6386935-e6ee-4aaa-aaa8-70f56b79bc29,Single,,4889156,Clara Luciani,4290170
Moulaga,1,2019,1,8e6c44df-06fc-4852-83d0-ef0efed6630a,Single,,1191615,Jul,2265158
Why Did You Do That?,1,2019,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Single,Soundtrack,75491,Lady Gaga,522177
Survival,1,2013,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Single,,13,Eminem,57633
Castles,1,2006,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Album,Compilation,892,Coldplay,555560
After Hours,2,2020,0,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,Single,,4050205,The Weeknd,856411
Free Me,1,2017,0,2f548675-008d-4332-876c-108b0c7ab9c5,Single,,3469,Sia,567274
No Worries (Remixes),1,2015,1,302bd7b9-d012-4360-897a-93b00c855680,EP,Remix,542,David Guetta,572836
Live at Cardiff,1,NA,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Album,Live,892,Coldplay,555560
Pose: Dance Remixes,1,2017,0,73e5e69d-3554-40d8-8516-00cb38737a1c,Single,Remix,564,Rihanna,520084
Treat Her Like a Lady,5,1997,0,847e8a0c-cc20-4213-9e16-975515c2a926,Single,,198,Céline Dion,60087
Anthem of the Outsiders,1,2025,1,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Single,,13,Eminem,57633
Del Mar (Dimen5ions & DJ Alejandro Bachata Remix),1,2021,2,2f548675-008d-4332-876c-108b0c7ab9c5,Single,,3469,Sia,567274
Elastic Heart,1,2013,1,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,Single,Soundtrack,4050205,The Weeknd,856411
Where Have You Been (Remixes),2,2012,0,73e5e69d-3554-40d8-8516-00cb38737a1c,Single,Remix,564,Rihanna,520084
Vibra,1,2022,1,302bd7b9-d012-4360-897a-93b00c855680,Single,,542,David Guetta,572836
Sex Modex,1,2026,0,55304866-1b79-4365-a6b1-961c95e9fc57,Single,,1479842,PLK,5096340
Heartless,5,2019,0,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,Single,,4050205,The Weeknd,856411
Folie,1,2020,0,8e6c44df-06fc-4852-83d0-ef0efed6630a,Single,,1191615,Jul,2265158
2000 Collection,1,1993,0,847e8a0c-cc20-4213-9e16-975515c2a926,Album,Compilation,198,Céline Dion,60087
Libre,1,2021,0,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,Single,,1042268,Angèle,4807932
La Loi de Murphy,1,2017,0,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,Single,,1042268,Angèle,4807932
Cheers (Drink to That),1,2011,0,73e5e69d-3554-40d8-8516-00cb38737a1c,Single,,564,Rihanna,520084
Remember,4,2021,1,302bd7b9-d012-4360-897a-93b00c855680,Single,,542,David Guetta,572836
Baby Don’t Hurt Me (Borai & Denham Audio remix),1,2023,0,302bd7b9-d012-4360-897a-93b00c855680,Single,Remix,542,David Guetta,572836
Cartel : volume 1,1,2021,0,52315221-8b06-4fb1-bfd3-16057aa4f9e1,EP,,14621667,Koba LaD,4814922
A Very Gaga Holiday,1,2011,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,EP,Live,75491,Lady Gaga,522177
Roll It,3,2007,1,73e5e69d-3554-40d8-8516-00cb38737a1c,Single,,564,Rihanna,520084
"2005-07-02: Live8, London, UK",1,2005,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,,Live,892,Coldplay,555560
X&Y Bonus,1,2006,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,EP,,892,Coldplay,555560
Just Dance,1,2009,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Single,Remix,75491,Lady Gaga,522177
Love the Way You Lie,1,2010,1,73e5e69d-3554-40d8-8516-00cb38737a1c,Single,,564,Rihanna,520084
Shiver,4,2000,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Single,,892,Coldplay,555560
MAGNIFICAT,1,2025,0,062ab94e-b7a5-47a9-b3f4-cc1750c3f859,Album,,5175734,Vald,950572
Ordinary Life,1,2019,0,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,Single,,4050205,The Weeknd,856411
MAL AMOR,1,2025,0,b2fbd053-4380-412c-95d2-35c6da8f1011,Single,,4429712,GIMS,5263805
Morocco,2,2022,1,785c0e9c-89f6-4bf4-8296-443a46632d62,Single,,390,Booba,522394
Best Friend,1,2015,1,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Single,,13,Eminem,57633
Tentation,1,2024,1,6a2244c9-3122-454e-b83d-b23e2968884e,Single,,171998,Hamza,841407
Lady Gaga: Remixed,1,2018,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Album,Compilation,75491,Lady Gaga,522177
Christmas Lights,7,2010,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Single,,892,Coldplay,555560
What If,1,2006,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Single,,892,Coldplay,555560
Nougat,1,2017,0,785c0e9c-89f6-4bf4-8296-443a46632d62,Single,,390,Booba,522394
Gone Gone Gone (MK remix),3,2025,0,302bd7b9-d012-4360-897a-93b00c855680,Single,Remix,542,David Guetta,572836
The Fame,209,2008,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Album,,75491,Lady Gaga,522177
Imagine Dragons – 50 Greatest Hits (2020),1,2020,0,012151a8-0f9a-44c9-997f-ebd68b5389f9,Other,Compilation,416239,Imagine Dragons,1188385
Unreleased 2,1,2013,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Album,DJ-mix,13,Eminem,57633
Fallout / Ushuaïa,1,2023,1,ee782f62-1bdb-4a0b-8fc4-3bf2a8c1f979,EP,,292949,Dinos,1136202
Courage,2,2019,0,847e8a0c-cc20-4213-9e16-975515c2a926,Single,,198,Céline Dion,60087
This Is What You Came For (remixes),2,2016,1,73e5e69d-3554-40d8-8516-00cb38737a1c,Single,Remix,564,Rihanna,520084
Virgin MegaStore Promo,1,2001,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,,Live,892,Coldplay,555560
Lunettes quartier,1,2025,0,8e6c44df-06fc-4852-83d0-ef0efed6630a,Single,,1191615,Jul,2265158
Petite Bulle,1,2020,0,d6f204c1-ea79-4ad0-bac3-862faad14130,Single,,7365500,Josman,4816066
Poison ou Antidote,6,2019,0,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,Album,,4803754,Dadju,4884911
"Eh, Eh (Nothing Else I Can Say) Remix EP",2,2009,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,EP,Remix,75491,Lady Gaga,522177
FADE UP,1,2022,2,070a4a70-705b-41ba-a30a-cac559c781f8,Single,,162665,SCH,5263675
Titans,3,2021,1,2f548675-008d-4332-876c-108b0c7ab9c5,Single,,3469,Sia,567274
Saga (remix),1,2024,0,785c0e9c-89f6-4bf4-8296-443a46632d62,Single,,390,Booba,522394
Titulaires,1,2020,1,52315221-8b06-4fb1-bfd3-16057aa4f9e1,Single,,14621667,Koba LaD,4814922
"2002-07-15: EinsLive, Cologne, Germany",1,NA,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Album,Live,892,Coldplay,555560
3 A.M. (Travis Barker remix),1,2009,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Single,Remix,13,Eminem,57633
The E Tox: A Prelude to Relapse,1,2009,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Album,Compilation,13,Eminem,57633
These Are Special Times,21,1998,0,847e8a0c-cc20-4213-9e16-975515c2a926,Album,,198,Céline Dion,60087
That Kind of Woman (Jacques Lu Cont remix),1,2020,0,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Single,Remix,8706544,Dua Lipa,5250517
Thinking Out Loud,1,2015,0,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,,Remix,384236,Ed Sheeran,860349
"R.I.P.R.O, Volume 4",1,2020,0,10df38da-1292-4881-bd96-c6dfead3934b,Album,Mixtape/Street,4087782,Lacrim,859596
3AM,1,2009,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Single,,13,Eminem,57633
"2016-06-26: Glastonbury Festival, Worthy Farm, Pilton, England",2,2016,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Album,Live,892,Coldplay,555560
D.P.M.O.,1,2012,1,6cad3ce5-6380-4594-a8da-ae7d273b683d,Single,,259467,Orelsan,789245
No No No,1,2022,0,0c980a2b-ca09-4d04-ad80-e7c2ce9621fb,Single,,12526056,Tayc,5125715
2017-06-25: Glastonbury Festival of Contemporary Performing Arts,1,2017,0,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Broadcast,Live,384236,Ed Sheeran,860349
Crazy What Love Can Do,4,2022,0,302bd7b9-d012-4360-897a-93b00c855680,Single,,542,David Guetta,572836
Stars Will Align (Zerb remix),2,2024,1,012151a8-0f9a-44c9-997f-ebd68b5389f9,Single,Remix,416239,Imagine Dragons,1188385
Not Afraid,2,2010,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Single,,13,Eminem,57633
Tobey,3,2024,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Single,,13,Eminem,57633
Rêves bizarres,1,2018,1,71ff695e-896a-4043-aea4-93eadde08d09,Single,,9197980,Damso,4289606
Ghost Stories Live 2014,8,2014,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Album,Live,892,Coldplay,555560
Monica,1,2026,0,b2fbd053-4380-412c-95d2-35c6da8f1011,Single,,4429712,GIMS,5263805
Radioactive by Imagine Dragons,1,2013,1,012151a8-0f9a-44c9-997f-ebd68b5389f9,Single,Remix,416239,Imagine Dragons,1188385
Semi-auto,1,2022,0,062ab94e-b7a5-47a9-b3f4-cc1750c3f859,Single,,5175734,Vald,950572
Gimme Christmas (Lofi Soundscape),1,2023,0,2f548675-008d-4332-876c-108b0c7ab9c5,Album,DJ-mix,3469,Sia,567274
G700,1,2022,0,ce155ad5-afc8-4398-bf38-c99f02cd0814,Single,,4842061,Naps,3690398
Tout le monde veut des lovés,1,2014,0,10df38da-1292-4881-bd96-c6dfead3934b,Single,,4087782,Lacrim,859596
Legend,1,2021,1,8e6c44df-06fc-4852-83d0-ef0efed6630a,Single,,1191615,Jul,2265158
Wild One Two,2,2012,1,302bd7b9-d012-4360-897a-93b00c855680,Single,,542,David Guetta,572836
Save Me Tonight,3,2026,1,302bd7b9-d012-4360-897a-93b00c855680,Single,,542,David Guetta,572836
Jumpers for Goalposts: Live at Wembley Stadium,1,2015,0,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Album,Live,384236,Ed Sheeran,860349
New Rules (RMND remix),1,2017,0,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Single,,8706544,Dua Lipa,5250517
The Singles Boxset,1,2003,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Single,Compilation,13,Eminem,57633
False Alarm,1,2016,0,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,Single,,4050205,The Weeknd,856411
Muay Thaï,1,2024,0,785c0e9c-89f6-4bf4-8296-443a46632d62,Single,,390,Booba,522394
Best of…,2,2012,0,2f548675-008d-4332-876c-108b0c7ab9c5,Album,Compilation,3469,Sia,567274
2U (Robin Schulz remix),1,2017,0,302bd7b9-d012-4360-897a-93b00c855680,Single,Remix,542,David Guetta,572836
Russian Roulette,4,2009,0,73e5e69d-3554-40d8-8516-00cb38737a1c,Single,,564,Rihanna,520084
