hashed_id,profession_declaree,profession_recode
5ce798797ae877d1728121dab456d0e930ad03b51fab423effd3e54d6ac0bcd0,conseillère de vente,Conseillère clientèle du commerce
1df43dfaac97e4499a0b9652340c3a584d84f594ffeee3647a65d51cff025603,Expert paie,Gestionnaire de paie
bb05e3510a345ba67fe1d79ce65a85868f912afccd1efadd7199a9e11aea20a6,Employée de banque,Employée de banque
a3d2df40efa117c189f9772e4787f6e8bafe73de43c74a166b4d26e57f541823,Responsable librairie,Libraire
515b6c0c2009fa8d9e70347f9004b83d35fafaba28a7f3cf03ff7bbbac90d2c7,Artiste créatrice de haute couture,Artiste créatrice de haute couture
22813b0d530bb955051f4d8c4a1ad993cf9d55fccf11c7e65876bc2e235d1a51,Agent administratif des finances publiques,Agent administratif de l'État
71730d3841c57990fb02c108f6f3a879fe251e9d595ce4a71d75f4e665d5aceb,Agent commercial sncf,Assistant commercial
864e46744ba28ad1d86651f056fd2ceda9b2cb491d8b13f189ce75a822ebdf76,Animatrice pour enfants,Animatrice pour enfants
4573318428e85b063476102520c8e0bdfa91b76d2bef328d79069a3f5a1218a2,Gestionnaire de patrimoine immobilier,Gestionnaire de patrimoine immobilier
e3b8404b17ded2c1c49ac709848ea55bdc93505c47dcfedece2737f21307d52d,Nounou,Nounou
5c5e9c65a37f097847bb9ae131c8465a92234afcfc127d3680112878c5b8ef88,Cadre commercial de banque,Cadre commercial de banque
d7f9dec5a6e67334391ae4f49fbc16957a53c74fe55ec5c5befca5bbe727a63f,Coiffeuse à domicile,Coiffeuse à domicile
08fbf730fa4ef7617b5e2f7f4135a3bea476d680cab797ed8f5ecc737c93dbaf,Maroquinier,Maroquinier
fff2224a78a2fc1e2d4c69238602fc024c5f0db85e0e626ab1ebcdd40e9d9687,Business manager (50 salariés ou plus),Business manager (50 salariés ou plus)
996292c79d766c736aade86843b1a3ef0b9ddf988d4b738eb7b0eeb308f5ed0c,Auxiliaire de crèche,Auxiliaire de puériculture en crèche
bc9389727c61b86f3e041b670f6e710ad0b44e83b752d41e6552e06f475d3374,Gestionnaire sinistre,Gestionnaire sinistre
c9986dd8a847b06efff1cd775656ea46a9ef47ad69c090907e7c2425b43a719a,Responsable logistique,Responsable logistique
3db578a5a642b6ad70097084cf8738f40fb36abfdf9bcd4f6f02f70356790cd1,Maraquage de sol,Cimentier-applicateur
3fd151c0c8a8cff537adcb0cd0c9192a727edd0fdaee4993db7ba4ac2e89bec8,Aide soignante,Aide-soignante
609237893412c93cc178e88bd150aab6edb399851a3566674fdc460ef115c684,Agent de production en mécanique,Agent de production en mécanique
66bdad10659d0a35ad8726a18748df5ff916c36a05986ca3f3ee95014ab0982a,Agent immobilier (négociateur),Agent immobilier (négociateur)
8098117c30355d4a0a9b77ccb581c8a6e21dc9808a8a2a9855ec5d777c0f1c90,Gérant de société,Gérant de société de transport
45b9ebd3438b0df36fbdd6f0957fd78c3c2386423515b29d63dff31785cbcbea,Nîmes Tourisme,NA
4aafd987b4acf8f36074d60af7ddfd58754d9f669f2e9d6356b52b7dd563bbae,Chef de réception de l'hôtellerie,Chef de réception de l'hôtellerie
460d21e0d93265657c31dba394ccb199fb45a83c0b7ee815e1992b76b89de781,Cadre administratif de l'hôtellerie restauration,Cadre administratif de l'hôtellerie restauration
a1b70e64487ca46fd4500fe930d7cba3eaf76109116435593ce49917a37cbbce,Gérant de commerce de biens intermédiaires,Gérant de commerce de biens intermédiaires
30cdbc44dd08f33559c29824daa6f10569dcf0409ea09b8faff13068b9e8a81e,Responsable d'exploitation des transports,Responsable d'exploitation des transports
617aaa71b1b7a8eb59bcde365c5b2fd40d4169a7ce3573ef7930a5c70fc8eb87,Aide conducteur de travaux,Aide conducteur de travaux
889ade390cb17cf7fc0d955b4ebafd6d6d2aa3698cafafa68d4f5db2c5c1299a,Audit financier,Auditeur financier
ac1cc466adba63cb905295fd3a0c5cfadee904e42fcd4ed317d6320aa141f428,Appui manager en alternance,NA
ebe8263a01bc39a109083ee22e33ec151ebfaf35016c50d3daa570985b8d40d6,Graphiste,Graphiste
49837a9b9a14a245da1f172968ff645058c86a518add7ae78e3adef12975477e,cuisine,Cuisinier
9f546de7ca175d2d607ff4443c9f1bfbf83ae0a982480aa88ca2f668ff8c642e,Chargée de développement local,Chargée du développement touristique
ec3d8415360347e99cc1a91780a0ec80d5ce31234f14fc90bb16b7c07c5a689b,Second de cuisine,Second de cuisine
defddd6000a7d60bb2e60b25853aeb95816ee2088ec41a1e3f551e9b065ac586,Gestionnaire d'assurance,Gestionnaire d'assurance
61724271359dee67e6bbc70713bbbcf471f4e3ce1280ae61b3fd5c27faa995d1,Technicien électronicien d'installation,Technicien électronicien d'installation
972ea3a606c4727a4243cb9eb7fb4a0f0aa0a2912037e6fe816d181378734fd4,Consultant en réseaux informatiques,Consultant en réseaux informatiques
5fff446f0ba3e6691d7ab90371501e76eb511544bc7417103366b3f9a3fc1540,Représentant du service client et spécialiste en logistique,Agent logistique
082df8a4b210c9b9d800693eff3890c457ee6fe425331abb12b8d847eb20f7bd,Consultant en ressources humaines,Consultant en ressources humaines (RH)
68cb87fa7ff58dc3fbd2209e843e46b06321009fa50404a39ae5697591d2c66f,Artisan Flockeur,Artisan en confection
39588af9af06a4e8f2e4fe4977efd7dcddbe28cdc5150b5e1eb12159ca621fc6,Banquier,Agente commerciale de banque
d10fa7189907ba072d424dd4e4f6924bfd92bf3f7e8c413502df5987848e7086,Professeure certifiée en collège,Professeure certifiée en collège
26e3877ca5f3cd32dcd007cba00b3bb6ea731dc6a5f1c47a0dee758aeaa7a859,Gestionnaire des ressources humaines de l'État,Gestionnaire des ressources humaines (RH) de l'État
6d4fd2ba650401f46a9f6910c924ab6e42e5d6073ad3db4bd05c40cdb3126014,"Chauffeur de bus, de car","Chauffeur de bus, de car"
afbb0e03aa6d3b177f3a958c6f07a60574fa18ee9d82e0b57d2dc3fb6b1c7429,Carreleur mosaïste,Carreleur mosaïste
4e2346d433d696ceba634066f70fa18503b4a424be51f901a5b43a9f4981498f,Responsable qualité sécurité environnement (QSE),Responsable qualité sécurité environnement (QSE)
7a72332d8d950914d275ba251adc251f43a423f8c26f7dd05f5af7ee359c0321,Chirurgien dentiste,Chirurgien dentiste
96b51d0377b0c44571e20322e462ded6662fbc589286ae813778ccea8cdbec00,Consultant associé conseil aux entreprises,Consultant associé conseil aux entreprises
c02021a74efe973c57d218bbcff4ac690a39adadccdefeb312a065d08bb17add,DJ / Animateur de soirées,Disc jockey (DJ)
af940b0a82cc4de624eabb8e357271983eabf4c52e9770592d95d11e70f39363,Chef de projet publicitaire,Chef de projet publicitaire
a2c15489b76f695fee9c9f3603ebf9ce609d098123d98432004886dc26e3a596,Chauffeur de collecte,Éboueur
cbdca4eba38d3d9f1ec55a9ad5fda4f37a7e727cee8211d7159207967be307d6,Viticulteur,Viticulteur
6159e5c58fc55843bc215508930782f0ad270ce767b453b626aa9f9f8829af0a,Responsable commercial,Responsable commercial
869444c88638c4518e418e70df65b16aaa78a24f65b8aa2c7bba8aefc29588fa,Office manager,Office manager
225654f7fcfc7b805ab05da89cdb3e8deb768298d50c541270ef0a0bb96f2069,Serveuse de restaurant,Serveuse de restaurant
676fe99ade75fb07a3b17a4f07b134d312c7e311ba5013f7d656b63e30ac71ca,Électrotechnicien de production,Électrotechnicien de production
5d519ec6756ab1ba2a6bf46d5c32779e5b996fb1929f338893301a8276a0c8bd,Chaudronnier soudeur tuyauteur,Chaudronnier soudeur tuyauteur
48f0534cc974616f67b8b1b1128e53eee3c533917d9264cfe50292dff2d69c8b,Opérateur nucléaire,Technicien nucléaire
1804293f2bb7cbd7cc9c0c59aea8c588d56acabac6da9262e77141749e469624,Manœuvre du bâtiment,Manœuvre du bâtiment
ec14c68d110d46764c0d0bcd3a3930767d594dd0c4fdb832ca454962c373e5cb,Banque,Agente commerciale de banque
79c737bbefbc857984ded16a74bbb15bf2beae84bd4fb09e4479369e81a7425d,Employée administrative (accueil),Employée administrative (accueil)
2721b3aff0a4b7a2032a6f9d7cfabae4cccbc22891f55772cdee8ac5962a9521,Management de l’Innovation et Entrepreneuriat,Consultant conseil aux entreprises
1b24d18c1c60a7e0a65587d5be148cede63170c1e83506772060689186456009,Médecin hospitalier (praticien hospitalier),Médecin hospitalier (praticien hospitalier)
945c3ccff1e918653674dcab4f12e10c8bae2901fcc913700919d48fb47ec827,Cordiste du BTP,Cordiste du BTP
de03274f4f03a5140354e34331465f28b3a7c4a73c5e34753f69ce8f3daa16b9,Entrepreneuse du bâtiment (tous corps d'état),Entrepreneuse du bâtiment (tous corps d'état)
399dde53f3ff9178026c1413939132cfaeacfcb088fcf830afddabb402bb8de7,Assistant ingénieur,NA
33e73ba8213aee57b9a425ae2256e88f8850adebadece73c4c01087306654f1d,Orthophoniste,Orthophoniste
bef4e742779b635a63646db21590e983df02088b1c88f5d75eaa126a88eeb1e2,Chimiste recherche et développement (R&D),Chimiste recherche et développement (R&D)
c76b5ce19e6fcf354795a11df41a13e3f1be026ebbddb4e59d313d9db5762aa8,Cadre commerciale,Cadre commerciale
c4306b58c483476874ff9c933eb5fdacc50eae2fc8a34ef99dcf3deb1fa5de98,Security architect,Administrateur de système d'information
a13e6c70e10f9f33911272d302f74efa4687edec6fa556eba870767b0ef468f1,Infirmier libéral,Infirmier
5c10ff339a5237d51e42cd32905cda55fa146bf4cadfd7aaf45af7341d55241f,Assistante relation partenaires,Assistant administratif d'entreprise
f1818a446d1c69d36ec634e875412f992237c2ea3c44b3426e7446737fe5b92d,Infirmiere,Infirmier
9a78e4a8aee7beb650e61dda32a63ce8ad3589595dba09473821d1e2c70f776a,Restaurateur,"Restaurateur (café, restaurant, etc.)"
a9b5bbe568eabf127a816356fbc8c3dc410329c16b451c830983feb0ab84549f,Assistante administrative d'entreprise,Assistante administrative d'entreprise
6397872f076585b78ef470a6a885e4e645d962d6aeedbbf30a9554cd23f5f66a,Responsable commercial du BTP,Responsable commercial du BTP
695aa90c30d5cfcd2cb38d5f2a7b055e43adfab3d2768117a0a41394dd27e336,Psy,Psychologue
14061e05d6fbb4a0821c144deee4293351ad7f85443330cb1f5decb2aba4e798,Laborantine de l'industrie,Laborantine de l'industrie
f34bcae483288bf2a6a440395622f83b21c689fd55d8151a27cfa4319626b03c,Cadre dirigeant d'entreprise de l'immobilier,Cadre dirigeant d'entreprise de l'immobilier
72f1bf03e9a97d9d0d45336970d5b415c4fb8801059c0f75dc2ca528d4b6d67b,Cadre,NA
5e4fed1dbab54767d18cbe1559ab9bb2279637898b7861993dbb5af8f3b8cc64,Assistante de direction d'entreprise,Assistante de direction d'entreprise
9d851431727f1c46c6a998e6c624b70b3b7048e64d862467d018f8371e80b240,Category manager (catman),Category manager (catman)
27174bbde031fbb5ebb2a18198b95cc95b7999b43ba7190089bbc769c467b969,Directeur de centre de profits,Directeur de centre de profits
e8337a9218f268935e0b0e388544131f7faeefa02c9b484ab2cf595a78bd5eeb,Infirmière,Infirmière
63bcf2282cf19969a18385af773fe20ba6557f5465897e500b7bdbdbe1e1f1f5,Consultant Financier,Consultant financier
408beb47c9facdb7fb2af4b73fd6c29bb56486c3d827c4fae4ff753a1b5665f8,Préparatrice-vendeuse en restauration rapide,Préparatrice-vendeuse en restauration rapide
aec8cd0617b49795a964644c4287926359d60545625038acd323e54e347e2abc,Web Designer,Web designer
771274f8aff18a7776489296a9fd3fa15a9b81a8955fbd5e5433f61d02c9afb3,Serveuse dans un bar,"Serveuse de café, bar, hôtel"
f28659a55928f7830f01296524b270075a1f97f7317e75ac1027f20dfd22f9ef,Ingénieur en sécurité informatique,Ingénieur de sécurité informatique
00a967c037823cbabe9521c577bf031032557705ab1721f079a17c35726cd19c,Réparateur frigoriste,Réparateur frigoriste
af70021a77104e6caf7abb3c75b6cf98a78de6656285f5c8089a2fcedc972b27,Business manager,Business manager
5f5e39de84c20bd97a0f6ed49d923bc8847cfaf5f68eb4debbbaa7414b68d9ee,Entrepreneur du bâtiment (tous corps d'état),Entrepreneur du bâtiment (tous corps d'état)
7c5d98f0bbb91cbfe0fefa0b524fa64752eb88d3474be032718c95a7396a1515,Responsable qualité,Responsable qualité
462658f8fa5b023868e1e044082a5cd099bc0d791757c0dcb7dfd958de090e9c,"Chauffeur de bus, de car","Chauffeur de bus, de car"
7bff3ccb997c95e7173e5f8bafc7369665062457fb04030b5d303071813be969,Préparatrice-vendeuse en restauration rapide,Préparatrice-vendeuse en restauration rapide
647b6b491759c0901ee064eaa590622cb732df5f6ccfe97eff1d5e72a1248ac7,Manager,Business manager
325e65b3a0047697b83a5bb6e9929ee6076e329a9bdcecb0e869ab6933a42652,Commissaire des armées,Commissaire des armées
eb281aacebc3cb12c7c9856a35bfbc76eab12c40a79343ae8dc593a7844a28de,Social média manager,Social media manager
f1c8ea18ff073244cdc202194da5757d660afac24bd4309ac333685c7501020c,Web analyste,Web analyste
f7fbba89ed3f0fef53a80c9fc0d1ee70fe008b18db99a29432e62bcf142db69f,Agent commercial en fournitures industrielles,Agent commercial en fournitures industrielles
9c0eb6555d02aebd52ec344494ccc30df1b2025c1061b0803ab093caa02e2170,Employée de banque,Employée de banque
8d7ea23f81db088616fc8f7e62f86b9e36c0dc69e1dcb87054288b4361a46a83,Fonctionnaire,NA
6a45fdb8c69df046d3d95048e1bafa4ab405db96d4a7f09f98ddbc6f7c27fd99,Chef d’entreprise,Chef d'entreprise de l'industrie
07001c0ccf29344521c74f65037a8d718235dc4a26a29e82e62f0fc8ccd76c7b,Agent immobilier (négociatrice),Agent immobilier (négociateur)
a9c2858960a2d6373bba690b206ec91edefb231e9d0499de870afd27cc24f98e,Tuyauteur industrielle,Tuyauteur de l'industrie des métaux
80d21e54cb6e550f2ab92cbc8d0c81b845cbf3b5049c25c927e4f0dd9b2d1ac2,Journaliste sportif,Journaliste sportif
feb403b4e017672dbcef53c4a24fb8e027f003685119ab0d11be680b4491b7b3,Responsable commercial,Responsable commercial
718a66d1332cb409c98350d6c324f0d39a0ea9b47f7eb9c5512723b21807824d,Employée de commerce,Employée polyvalente du commerce
e038bdb5643243ca7bb2c0f6c5599f3ce02185dd8f420b13dc0dfd9719d0d224,Chargée de recrutement,Chargée de recrutement
a4cf3240604389d255c3eba5ee75f285c5a5ba59db3fd48c5cf33d27ca1c810e,job d’été,NA
31e3f5e1febd76ab06d86fbdd96deb485a19ec3da1d32378e1e09bf4d163f219,Conducteur de train,Conducteur de train
dbf711643cdaf249b561ee04480973e440b19cc1f486f450de24312d4ba3c958,Directeur de recherche publique (chercheur),Directeur de recherche publique (chercheur)
9cf51e31ee31e5597bddf620085d374f1d86285fa7acfbe9dfe6c7f812171610,Conducteur de ligne de fabrication,Conducteur de ligne de fabrication
d526b6bdce51d9cba8bb83cf1d0c8ce3055e24d0150f1171724fa6179da58267,Menuisier poseur,Menuisier poseur
7c7af8d2649309e8aa4b041125aaf5859771a2eaac8921f2db656255914fecaa,Gérant mandataire de commerce,Gérant mandataire de commerce
d3b4726c7c0edeea26d67c7f6626ac8e49a64f694b37839149fbf0a57726a083,Assurreur,Assureur
8124c216d82db673e8084fa768079b6d42ed566cb37b0da02bc64d217e79f6d4,Gestionnaire comptable,Gestionnaire comptable
4f7ea9f61427e387417d340cf59c85b07fb0bd93edd5e29623e6c75adda05150,Cadre dirigeant d'entreprise du commerce,Cadre dirigeant d'entreprise du commerce
2d5bbc5b60d79b42ee1e22c8bb478c903495501128008578501c28b914503d99,Cuisinier,Cuisinier
91684785fbc9577cb0bd94529adfa3880ad6fd721e07dd3f8277bea0c52aeaf6,Ingénieur du bâtiment,Ingénieur de chantier du bâtiment
306ff4c6ecee1dd76a64097adb05ec9b4676faf05406ca15f1104dbbfb81b286,Directrice galerie,Directrice de magasin
3a697ed4ea79a12e62a3a29d0dd87334ac97b1a54702f37c8aacb3fad21b50a7,RH,Assistante ressources humaines (RH)
d64aa008c71341074e754a9be60d8684bbaa5834c56e859df64fe7795543045d,Journaliste,Journaliste
9939c293ee185f51364aa7804d37ebefcb7241742df17937bb38aa59aa47f106,Gestionnaire comptable,Gestionnaire comptable
7966bef8915b9a47cbece52a4fcfbe02b3dd95bae0524f81738c24126911ceac,Chef de service maintenance industrielle,Chef de service maintenance industrielle
cb76dc64845ab0a659405246da40ce0c3f52cc1925a7ec60173b81896a7878ef,Formatrice en entreprise,Formatrice
154f7cae64f734f00a96c0ba74b22a2fa853a64d858523aa7459facb4b48a594,Vendeuse en habillement,Vendeuse en habillement
35f7a356992cc373558fad77db655203deb87bab983f2e38b4b1e0ad5ad3ff6c,Chimiste,Chimiste
057c0c4d56bb02379c7b5df9173e871eb3ce5648e1471ec9eed622ca547c563a,Serveur de restaurant,Serveur de restaurant
fc73c116b06be30722e9054eea93d711ffa50183418106a90f568a2e4372c5a8,Cadre commercial,Cadre commercial
5b7b8c9fa61d6c65697f1ca86654dd4322f92102bd5bf15a98fb9a7d23a3940c,Assistante de direction d'entreprise,Assistante de direction d'entreprise
f2e3664abf10a44982400ec8c7959a1090b0442d415c58d820cbfc635524106a,Agriculteur céréalier,Agriculteur céréalier
6b55a5053c21c6b0d3b806678d0494ea1effca8d09591edede72c02cff721bc9,Graphiste,Graphiste
