radio,sng_id,ts,title,played_duration,artist_id,main_genre,year,dz_name,mbz_artist_id,sc_artist_id
Virgin Radio,1428855422,2022-12-10T16:34:49Z,,NA,162665,hip_hop,2019,SCH,070a4a70-705b-41ba-a30a-cac559c781f8,5263675
Beur FM,572770982,2018-07-09T07:53:10Z,Sharks,NA,4889156,r&b,2022,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,555560
kiss fm,134533222,2022-10-13T11:37:57Z,Filtré,222,14621667,hip_hop,2022,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,860349
Skyrock,1874467717,2023-01-06T23:36:20Z,RAPPEL,181,384236,latin_american_music,2020,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
Swigg,546875592,2018-10-01T20:03:29Z,Flames,204,75491,pop,2018,Naps,ce155ad5-afc8-4398-bf38-c99f02cd0814,3690398
Champagne FM,1366461792,2019-08-11T23:12:09Z,,165,4803754,,2022,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,860349
RTL2,1171629,2022-04-28T19:05:10Z,SOS,176,564,latin_american_music,2022,Aya Nakamura,cf580d82-3f3e-4b86-8874-7e0fbe794f01,4843823
Ouï FM,694498192,2022-03-29T02:42:54Z,Sosa,NA,4803754,hip_hop,2022,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,520084
Rire & Chansons,4601933,2018-09-28T08:35:52Z,Pray For Me (with Kendrick Lamar),NA,416239,,2022,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,520084
Champagne FM,1121246012,2018-03-10T13:04:00Z,La kiffance,168,1042268,pop,2022,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
Générations,770906992,2022-03-07T04:03:12Z,,NA,4429712,pop,2022,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
Swigg,572770982,2022-09-13T01:47:54Z,,203,198,french_music,2020,Koba LaD,52315221-8b06-4fb1-bfd3-16057aa4f9e1,4814922
Swigg,1922564467,2019-05-13T07:57:48Z,Sapés comme jamais - Pilule bleue,8,3469,hip_hop,2018,Tiakola,2bd0c272-dd22-4395-8381-18fa2fa59f1e,5061175
Champagne FM,565609502,2023-05-06T13:10:48Z,Askim,170,171998,pop,2022,Nekfeu,d721866d-5640-44ee-87f7-23dd062abd8a,900257
RTL2,581222452,2022-05-09T10:06:41Z,La street,NA,1191615,pop,2019,Sia,2f548675-008d-4332-876c-108b0c7ab9c5,567274
kiss fm,434591652,2022-02-21T13:45:36Z,Die For You - Remix,NA,8909272,pop,2023,Gazo,dae7d996-38fe-4578-bf75-1e2510f522bb,5496198
Générations,1544258312,2020-03-09T05:25:30Z,Crazy What Love Can Do,9,564,french_music,2022,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,5250517
Skyrock,1674442347,2023-03-25T03:42:14Z,,153,12526056,pop,2022,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
RTL2,62290950,2020-02-18T09:35:44Z,,164,3469,rock,2022,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,4807932
Générations,429975012,2019-05-10T03:48:21Z,,186,384236,pop,2022,Zola,3134d99c-a372-424a-9f65-d2dacfdccaba,1345896
RFM,1578183982,2022-02-10T18:57:08Z,3615 Bonheur,161,4448630,alternative,2023,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,5250517
NRJ,887239,2019-02-14T10:24:54Z,La Quête,NA,384236,pop,2022,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,4807932
Générations,1539663882,2023-04-17T13:15:03Z,,3,5542343,r&b,2022,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
Générations,1420768152,2023-05-08T14:57:51Z,,201,8873540,hip_hop,2022,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
Beur FM,581222412,2019-07-14T08:27:23Z,Gâchette,177,292949,pop,2018,Clara Luciani,a6386935-e6ee-4aaa-aaa8-70f56b79bc29,4290170
France Inter,1763398007,2018-03-13T01:07:10Z,,8,310260,hip_hop,2022,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011,5263805
kiss fm,1120361182,2018-03-21T14:16:01Z,Baby Don't Hurt Me,NA,259729,electronic,2022,Sia,2f548675-008d-4332-876c-108b0c7ab9c5,567274
Voltage FM,2181984837,2022-03-30T09:46:17Z,,NA,259729,hip_hop,2023,Orelsan,6cad3ce5-6380-4594-a8da-ae7d273b683d,789245
Contact FM,1809158027,2023-02-16T14:14:37Z,Tout l'or des hommes,NA,384236,hip_hop,2022,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,4807932
Swigg,1645259512,2023-05-03T22:53:27Z,,NA,416239,pop,2019,Tayc,0c980a2b-ca09-4d04-ad80-e7c2ce9621fb,5125715
Champagne FM,1801822317,2022-05-04T10:12:33Z,,259,892,,2019,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
FG,429975012,2022-07-14T21:43:44Z,,151,3469,pop,2022,Clara Luciani,a6386935-e6ee-4aaa-aaa8-70f56b79bc29,4290170
Skyrock,581222452,2022-02-25T19:48:51Z,I'm Good (Blue),156,416239,alternative,2022,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926,60087
Contact FM,840650882,2022-04-12T22:38:20Z,Blinding Lights - Chromatics Remix,NA,14621667,hip_hop,2018,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848,522177
RFM,1480707722,2019-09-11T22:14:16Z,,16,13011,french_music,2018,Koba LaD,52315221-8b06-4fb1-bfd3-16057aa4f9e1,4814922
Chérie FM,477452252,2023-02-10T17:05:04Z,2step (feat. 1.Cuz),189,4842061,rock,2022,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
Nostalgie,1614510332,2022-01-25T22:35:43Z,,216,9197980,pop,2022,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
RTL2,4709950,2020-03-28T06:31:44Z,,NA,4429712,pop,2022,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Swigg,98087618,2022-07-27T14:40:58Z,Less Than Zero,141,8909272,pop,2020,Alonzo,9ff87295-bdfc-46fc-b605-456cc39d84ca,627192
Mouv',1366461832,2018-10-15T04:03:40Z,Enemy - from the series Arcane League of Legends,166,3469,hip_hop,2022,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,4807932
Skyrock,125089724,2022-09-18T00:46:48Z,Unstoppable,208,5288900,hip_hop,2022,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
Alouette,3098841,2022-06-17T05:41:11Z,Amour toujours,136,13011,hip_hop,2023,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
Mouv',675600272,2022-04-18T07:18:17Z,,NA,564,pop,2018,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Générations,1742492627,2019-04-12T07:42:25Z,,168,416239,r&b,2022,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
Fun Radio,1518077862,2022-01-12T21:37:06Z,Papaoutai,172,10189104,hip_hop,2022,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011,5263805
Skyrock,835640572,2023-04-10T20:18:23Z,Decrescendo,NA,8909272,pop,2019,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
Voltage FM,516060182,2022-04-16T15:15:54Z,Wrecked,NA,542,pop,2019,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Contact FM,6461432,2022-01-04T11:24:13Z,Shivers,NA,310260,hip_hop,2022,Orelsan,6cad3ce5-6380-4594-a8da-ae7d273b683d,789245
Voltage FM,142986200,2018-08-06T03:31:35Z,Sacrifice,NA,1042268,electronic,2023,Clara Luciani,a6386935-e6ee-4aaa-aaa8-70f56b79bc29,4290170
Chante France,574873,2018-06-28T13:00:48Z,Vamos,200,416239,hip_hop,2020,Koba LaD,52315221-8b06-4fb1-bfd3-16057aa4f9e1,4814922
Fun Radio,889837762,2019-02-08T15:00:35Z,,12,892,pop,2022,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,520084
RTL2,1572268772,2022-06-09T12:36:06Z,Dégaine (feat. Damso),13,75491,pop,2022,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
Skyrock,871719912,2022-05-09T05:29:36Z,,159,892,pop,2018,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,4807932
Swigg,1809158027,2022-06-04T15:14:23Z,Cœur,NA,384236,latin_american_music,2018,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Contact FM,7293823,2019-09-24T07:04:49Z,,NA,75491,pop,2022,PNL,da04991d-8e8a-43be-9892-1e6342a77410,1936284
Champagne FM,438868572,2022-07-10T00:08:02Z,Bones,4,416239,hip_hop,2018,Gazo,dae7d996-38fe-4578-bf75-1e2510f522bb,5496198
Contact FM,1780230687,2022-03-22T23:32:20Z,Le reste,173,542,hip_hop,2019,Hamza,6a2244c9-3122-454e-b83d-b23e2968884e,841407
Contact FM,1759430977,2019-08-14T02:30:42Z,,215,1042268,rock,2019,SDM,ee5acbd5-d291-4fe1-a06a-88060b131b77,5583003
NRJ,908604622,2022-07-24T06:38:55Z,CP_009_ Évidemment,NA,8706544,french_music,2022,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
Contact FM,1973181497,2022-03-30T11:20:49Z,,148,1042268,rock,2022,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Skyrock,142986210,2019-07-17T20:53:17Z,Démons,134,75491,pop,2022,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,860349
Virgin Radio,1372185412,2023-02-04T00:30:26Z,,NA,4889156,pop,2019,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,860349
Beur FM,1570993672,2022-10-05T21:16:47Z,Bad Habits,5,4803754,r&b,2019,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Skyrock,1969452677,2022-06-14T20:26:03Z,,NA,5288900,french_music,2018,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
Swigg,573386,2023-04-11T21:56:52Z,Pas là - Bonus track - édition Aube,NA,4803754,pop,2022,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
Mouv',703496412,2019-09-29T15:50:18Z,,3,1191615,hip_hop,2023,Stromae,ab2528d9-719f-4261-8098-21849222a0f2,828329
Champagne FM,2015511957,2022-09-22T17:30:32Z,Mon amour,NA,384236,,2022,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
Voltage FM,1544258312,2022-06-02T17:00:38Z,,208,5175734,hip_hop,2018,PNL,da04991d-8e8a-43be-9892-1e6342a77410,1936284
Voltage FM,398313402,2023-01-31T17:52:00Z,,190,564,pop,2022,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,555560
Skyrock,134533222,2023-04-06T17:22:36Z,,NA,13918545,hip_hop,2018,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Chérie FM,14959858,2018-12-16T20:31:32Z,,NA,542,pop,2018,Orelsan,6cad3ce5-6380-4594-a8da-ae7d273b683d,789245
Alouette,1573406512,2019-02-18T21:26:45Z,,NA,416239,pop,2022,Gazo,dae7d996-38fe-4578-bf75-1e2510f522bb,5496198
NRJ,796825192,2022-04-09T08:18:24Z,J'ai tout su,195,310260,pop,2022,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848,522177
Champagne FM,2005008037,2019-05-23T15:39:48Z,,8,4803754,r&b,2019,Niska,e369e789-6f07-4ce8-a70f-e136bc57bf3b,4873189
Skyrock,1738308487,2023-01-08T07:13:33Z,2step,207,384236,hip_hop,2022,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Vibration,1535046792,2022-04-18T22:30:38Z,Baby Don't Hurt Me,170,3469,alternative,2022,Maes,74def643-c770-470d-a0b5-21c0fa60069e,5278902
Virgin Radio,1107603602,2023-02-10T18:18:10Z,Amour toujours,NA,4429712,pop,2018,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,555560
Générations,1535046792,2022-05-20T11:19:58Z,La Maxance,NA,1042268,hip_hop,2019,Tayc,0c980a2b-ca09-4d04-ad80-e7c2ce9621fb,5125715
RTL2,1366461792,2019-08-04T07:27:15Z,La miss,197,4429712,alternative,2023,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Beur FM,1498546032,2022-07-18T05:18:25Z,,5,416239,hip_hop,2022,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011,5263805
Ouï FM,133165774,2022-01-24T14:07:58Z,Démons,8,8873540,,2018,Laylow,b04c952c-16c4-41ad-bd62-ace5047cdf6e,4289648
Chérie FM,1498546032,2022-11-26T07:50:03Z,Démons,NA,542,hip_hop,2018,Vald,062ab94e-b7a5-47a9-b3f4-cc1750c3f859,950572
RTL2,63510358,2020-02-06T23:18:48Z,Wrecked,180,8909272,alternative,2018,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
Champagne FM,610847532,2019-10-27T05:09:42Z,RAPPEL,184,416239,hip_hop,2019,Soolking,530a9937-4229-4d7e-8457-4853d7d5dd7a,6403312
Wit FM,770294422,2018-12-15T13:34:10Z,,NA,13011,hip_hop,2018,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
RTL,354918041,2023-05-28T16:13:11Z,,NA,4429712,hip_hop,2019,Orelsan,6cad3ce5-6380-4594-a8da-ae7d273b683d,789245
kiss fm,14525574,2020-03-07T04:03:56Z,,NA,3469,hip_hop,2022,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
RFM,1572268722,2022-02-01T14:25:00Z,CP_009_ Évidemment,9,416239,hip_hop,2023,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,555560
Champagne FM,1498546032,2022-04-11T09:02:52Z,,178,4050205,hip_hop,2022,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Mouv',14959858,2019-11-06T00:21:25Z,Celestial,NA,4050205,hip_hop,2022,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
FG,136338624,2019-04-12T01:44:05Z,,NA,13011,pop,2023,Soolking,530a9937-4229-4d7e-8457-4853d7d5dd7a,6403312
NRJ,1366461832,2022-01-18T01:55:24Z,Venga Mi,NA,1042268,pop,2018,Aya Nakamura,cf580d82-3f3e-4b86-8874-7e0fbe794f01,4843823
FG,700948842,2022-04-21T02:28:18Z,,163,1042268,edm,2022,Ninho,41fe37a6-f4bb-4340-9c14-e2c8e5d854f1,4847604
Mouv',666602062,2018-08-10T13:51:16Z,,2,384236,pop,2019,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Contact FM,75867418,2020-01-14T04:50:08Z,1+1 (feat. Amir) - Banx & Ranx Remix,143,892,pop,2019,Maes,74def643-c770-470d-a0b5-21c0fa60069e,5278902
Contact FM,1567617182,2022-03-06T00:45:33Z,TOUT VA BIEN (feat. Ninho & Naps),207,75491,pop,2022,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848,522177
NRJ,1614510332,2022-06-28T06:49:44Z,,165,542,rock,2023,Soolking,530a9937-4229-4d7e-8457-4853d7d5dd7a,6403312
Chérie FM,134533222,2022-11-18T00:45:11Z,Umbrella - Radio Edit,NA,1042268,edm,2022,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
Champagne FM,2196044807,2023-04-05T09:42:37Z,La Quête,NA,1519461,pop,2022,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011,5263805
Vibration,429974952,2022-04-03T08:22:48Z,,222,4889156,hip_hop,2019,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,4807932
Swigg,1874467717,2018-04-09T05:42:04Z,Eyes Closed,NA,75491,edm,2019,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
Champagne FM,1874467727,2019-11-29T20:10:20Z,Say My Name,NA,542,hip_hop,2019,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,4807932
Champagne FM,3445820,2019-04-27T11:45:14Z,Flames,NA,384236,pop,2019,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
Mouv',7145717,2018-11-03T03:52:15Z,Celestial,171,12526056,pop,2023,Soolking,530a9937-4229-4d7e-8457-4853d7d5dd7a,6403312
RTL2,832684092,2019-08-09T03:50:59Z,Dangerous,NA,542,electronic,2022,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,555560
Chérie FM,700948842,2018-03-21T11:10:30Z,L’enfer,NA,4803754,latin_american_music,2018,Stromae,ab2528d9-719f-4261-8098-21849222a0f2,828329
